Company,id
ustwo,92
Tesmec SpA,93
Ace Technologies Corp.,94
Loom,95
"Brother Industries, Ltd.",96
Crazy Richard's Peanut Butter Company,97
Bali,98
Kelly+Partners,99
Sukambizi Association,100
Melissa,101
Skyline Hawai'i,102
BACK LABEL S.B.a.R.L,103
L'Occitane,104
Msuwadzi Association Limited,105
Cleanaway Waste Management Limited,106
Goldstein Hall PLLC,107
Cyrillus,108
Hobbs London,109
"Chang Hwa Commercial Bank, Ltd.",110
CGI Inc.,111
Bitjam Ltd,112
"EO Technics Co., Ltd.",113
NLC - The European Healthtech Venture Builder,114
SeamsFriendly,115
Pluto,116
"Citizen Yard, LLC",117
Winderlea Vineyard and Winery,118
Mercado Global,119
"Kiwoom Securities Co., Ltd.",120
Teatum Jones,121
Kayser,122
GITEC BRASIL,123
VaporDNA,124
Mercury NZ Limited,125
Napolina,126
SNOW+ROCK,127
ReCreate,128
COAT,129
London W11,130
Brink Communications,131
Señorita LEMONIEZ,132
Black & Brown,133
ABG Sarl-s,134
Coffee By Design,135
Elle Evans,136
Julius Marlow,137
Glenworth Estate Limited,138
The Builders Fund,139
Talbot Runhof,140
Bao Bao Issey Miyake,141
"Hengyi Petrochemical Co., Ltd.",142
Ananas Anam,143
WildHearts Group,144
Firma,145
Bombas,146
Tillamook County Creamery Association,147
MA MER,148
Stride Treglown,149
Tory Burch LLC,150
Cassis / Paprika S.A.,151
FABBRICA ITALIANA LAPIS ED AFFINI S.P.A.,152
Nutrición Digital S.A.C.,153
KOCHÉ,154
Ryan Roche,155
Rever Consulting,156
Small Axe Peppers,157
Library,158
Doosan Bobcat Inc.,159
Country Life,160
Cabot Creamery Co-operative,161
LDP,162
Nehemiah Manufacturing Company,163
Y.A.S,164
Chloe Gosselin,165
the bread and butter,166
Kaffe Bueno ApS,167
Glassons,168
Balkrishna Industries Limited,169
The Herbivore Clothing Company,170
Applaws,171
Aluminum Corporation of China Limited,172
Smiths Group plc,173
San Marina,174
TransDigm Group Incorporated,175
Cairn Energy PLC,176
Thrills,177
Hug Pet Food,178
"HARRISONS MALAYALAM LIMITED, SBU-B",179
IMMSI SPA,180
Feng Chen Wang,181
Naïf Natural Skincare,182
"Asesores para la Inversión Social, S. C.",183
My Fair Baby,184
Roshem Impact,185
Nicole Bridger,186
Brickworks Limited,187
Troubadour Goods Ltd,188
BON'A PARTE,189
Global Power Synergy Public Company Limited,190
Hello Earth Agency,191
ZEGO LLC,192
Fancy Films,193
SOIA & KYO,194
Bresco Investimentos e Gestão Ltda.,195
Sales: Untangled®,196
24Slides,197
Nasdaq Inc,198
Kebirigo Tea Factory Company Limited,199
Lueder,200
Arch Textiles Manufacture Corp.,201
Bizzbee,202
"Qimen Anhui Keemun Black Tea Co.,Ltd",203
Pivot Energy,204
TINDI,205
Intopia,206
"Intercontinental Exchange, Inc.",207
Blue Illusion,208
D'URBAN,209
Surcare,210
"Cloudflare, Inc.",211
Conexia,212
"Discovery, Inc.",213
Afry AB,214
PARADISI SRL,215
Trustees Unlimited LLP,216
Bondi Sands,217
B&M European Value Retail S.A.,218
Holcim,219
MUTTUCK TEA ESTATE,220
Sylvia Toledano,221
Carbon Gold Ltd,222
Havanera,223
Wibra Supermarkt B.V.,224
Lyons,225
Barner,226
Goen.J,227
Fully,228
Urban Remedy,229
Guidestar (Guidestar Life Pty Ltd),230
Onda Eco,231
Cochlear Limited,232
The Polish Bakery,233
Clear Sale S/A,234
Yarrah,235
Mandalah Conscious Innovation,236
"CrowdStrike Holdings, Inc.",237
Quantified Ventures,238
Addvert,239
Banpu Public Company Limited,240
Daimukhia Tea Estate,241
Oliver Spencer,242
"BridgeBio Pharma, Inc.",243
Le Gramme,244
Ferguson,245
P2,246
Asia Pacific Resources International Limited,247
PIXELIS,248
Travois,249
Co-operative Group Ltd.,250
Eco Union,251
"Gold Coast Doulas, LLC.",252
& Other Stories,253
Piet,254
Derek Lam 10 Crosby,255
Dettol,256
Galaboda Group Tea Factory,257
Miss Shop,258
Huhtamäki Oyj,259
Dune London,260
Ecosphere+,261
LA Relaxed,262
Lightful,263
Sensi Studio,264
Currie Communications,265
Ingage Partners,266
TALGO,267
Maple Leaf Foods Inc.,268
Gymshark,269
Imani Development,270
"Controladora Vuela Compañía de Aviación, S.A.B. de C.V.",271
Dogeared,272
Circus by Sam Edelman,273
AlmaNatura Social SL,274
Kosloff Architecture,275
Cabinet d'avocats Novalex Inc.,276
ROAR for Good LLC,277
Greenland Holdings Corporation Limited,278
AIB,279
"Test-Rite International Co., Ltd.",280
Jill Stuart,281
No Ordinary,282
Icebreaker,283
Amina Muaddi,284
aequae,285
Possible Future,286
Corporeum,287
Puccino's,288
TENZING,289
Canadian Pacific Railway,290
Banca Ifis Spa,291
Chanel SA,292
Freya Lingerie and Swimwear,293
"Ever Better, PBC",294
Robinsons,295
And Less,296
Pandora A/S,297
Mackie's,298
Equipos Médicos Zepeda,299
SHAGASHA TEA COMPANY LIMITED,300
Green Fountain Yunnan Tea Ltd.-Lailong Farm,301
"GCC, S.A.B. de C.V.",302
MANOLA,303
Stone Soup Consulting,304
"Yifeng Pharmacy Chain Co., Ltd.",305
Colorado Capital Management,306
Sinendet Tea Multipurpose Cooperative Society Limited,307
goood mobile Holding AG,308
Vamos Expeditions,309
Manitobah Mukluks,310
Opera Sport,311
Joro Experiences,312
Industry of All Nations,313
Frontiers North Adventures,314
ALLSAINTS,315
Monica Vinader,316
"Two Octobers, LLC",317
Romwe,318
REVOLVE,319
Technord,320
AcadeMedia AB (publ),321
NFU Mutual,322
Green City Growers,323
Kin and Carta Americas,324
Whitecap Resources Inc.,325
AMS Fulfillment,326
JARLO,327
Jack Nicklaus,328
Kiitos Technologies B.V.,329
Hadera Paper Ltd.,330
Connor,331
Place2swap,332
re.draft,333
"Haven Ventures, Inc.",334
Johnson Matthey Plc,335
Stradivarius,336
Unseen footwear,337
Charoen Pokphand Foods,338
ekWateur,339
Children's Place Inc,340
NadaMoo!,341
Goood (Netherlands),342
Enka Insaat ve Sanayi A.S.,343
Filippo Berio,344
"GoodRx Holdings, Inc.",345
Sarape Films,346
Unstoppable Conversations,347
Careershifters,348
Lundin Petroleum AB,349
J Sainsbury plc,350
Mujeres del Pacifico,351
WITHFOR,352
Cropsticks by Cropmade,353
Frasers Centrepoint Trust,354
"The Green Engineer, Inc.",355
SHEKOU,356
PT. GUNUNG SARIHIJAU ENAM TIGA,357
Les Rêveries,358
Dunelm,359
Alantra Partners SA,360
Water Skills Academy,361
Jones New York,362
Headwater Food Hub,363
Delhaize Group,364
The Middleby Corporation,365
Above Green LLC,366
RUBAYA TEA FACTORY AND COTRAGAGI SUPPLIERS,367
Olga Joan,368
Sidney Garber,369
Pamapol S.A.,370
RH PERFORMANCES,371
Mazola,372
IKKS,373
Greenline Community Ventures LLC,374
RDA Renting SA,375
Inclusiva Consulting,376
Stay Wild,377
Save the Duck,378
PUCCI,379
OpenAirlines,380
Bombardier Inc.,381
Servioptica,382
Tamoa,383
Remgro Limited,384
Riemann P20,385
Nau,386
"Align Technology, Inc.",387
Invivo,388
Pure,389
Señor Seagull,390
John Menzies plc,391
Jonathan Simkhai,392
LG Electronics Inc.,393
Fratelli Carli SpA,394
EKO,395
Vivid Story,396
Ruifier,397
Zoo York,398
Travolution,399
Hobé Hosokawa Marketing,400
lavish alice,401
evolveEA,402
Iluka Resources Limited,403
Sunbridge Solar,404
"DMG Mori Co., Ltd.",405
"Alteryx, Inc.",406
not PERFECT LINEN,407
Whale Seeker,408
In Gold We Trust,409
Imperative,410
GA Circular,411
Continental Aktiengesellschaft,412
Sinerji,413
fransa,414
NATURE'S LEGACY,415
Babcock International Group PLC,416
Tampax,417
Derhy,418
Budweiser,419
Anabela Chan,420
GEDES,421
Rice & Carry,422
Fairmead Insurance,423
Teva,424
fitppl,425
Jeanerica,426
Beyond Green,427
Deeside Mineral Water,428
Prabal Gurung,429
Zagrebačka banka dd,430
All About Eve,431
Cosmo Crew,432
UNIFORME,433
Tucker + Tate,434
Lotus Biscoff,435
COMBIO ENERGIA S/A,436
Wesleyan,437
Anthea Crawford,438
"THK Co., Ltd.",439
Grupo Mas Movil,440
Bikmo,441
Community Development Partners,442
GroVia Cloth (washable),443
Cocoa Brown,444
Giv Local,445
Mayr-Melnhof Karton AG,446
Bürgen,447
Considerate Group,448
Home Depot,449
WHA Corporation Public Company Limited,450
Grupa Kapitałowa Rawlplug S.A.,451
NAGNATA,452
Cromwell Property Group,453
UBS,454
Wakefield Agency,455
Kesar Commercial Private Limited (Chardwar Tea Estate),456
Land & Water Consulting,457
"Zhejiang Tea World Food Co., Ltd. (Jiangsu Base)",458
Le Kilt,459
Even&Odd,460
Reconome Technologies Ltd.,461
re:focus partners,462
The Knotty Ones,463
Emma Aitchison Jewellery,464
Norfolk Southern Corporation,465
"The Shikoku Bank, Ltd.",466
Robson Laidler,467
Daily Steals,468
Fondify,469
VerdeActivo,470
WONGTSCHOWSKI KLEIMAN ADVOGADOS,471
"Franklin Resources, Inc.",472
Dover Corporation,473
Karen Kane,474
LilyBee Wrap,475
"The Sumitomo Warehouse Co., Ltd.",476
"B3 S.A. - Brasil, Bolsa, Balcão",477
Bruggink & Van der Velden (BvdV),478
"Mizuho Financial Group, Inc.",479
"Rexford Industrial Realty, Inc.",480
Bettr Barista Pte Ltd,481
Deuter,482
The First of Long Island Corporation,483
Solardec,484
Compañía Sud Americana de Vapores S.A.,485
Canadian Imperial Bank of Commerce,486
Panasonic Corporation,487
Undercover,488
"Medpace Holdings, Inc.",489
rag & bone,490
Fresh Del Monte Produce Inc.,491
Citizen Wolf,492
Mon Côté Bio,493
ba&sh,494
"Healthy Building Science, Inc.",495
Fabrik,496
OZ-GUR CAY FACTORY,497
Bausch Health Companies Inc.,498
CALIDA,499
Kuli Kuli,500
Elena Bobysheva,501
Revivn,502
"Newly, Inc.",503
The Sage Group plc,504
o3e Limited,505
Anthologie,506
Georg Jensen,507
Emaar Malls PJSC,508
"Banco Comercial Português, S.A.",509
PATHFINDER,510
TBL Services Ltd,511
SPUD.ca,512
Dear Denier,513
Generali Group,514
Greenfibres,515
Bogawantalawa Tea Estates PLC,516
Urban Edge Properties,517
BAE Systems plc,518
Lennox International Inc.,519
Morgan Lane,520
Skiny,521
361 degrees,522
Compugen Finance,523
Camp,524
Green & Wild's,525
Montcalm TCR,526
Jacquie Aiche,527
Charter School Business Management-FOREsight,528
Exponential Nordic ApS,529
Newcore Capital Management LLP,530
Sister Jane,531
TANIA ELLIS - The Social Business Company,532
Moonshot Academy,533
Čakovečki mlinovi d.d.,534
Mira Mikati,535
Growthpoint Properties,536
Wehl Inc.,537
Proud Source Water,538
WVN,539
Miga Swimwear,540
Grupo Bvl S.A.A.,541
Deutsche EuroShop AG,542
Northam Platinum Ltd,543
Microchip Technology Incorporated,544
"Nanjing Securities Co., Ltd.",545
"Tongkun Group Co., Ltd.",546
Suez SA,547
Danone Brazil,548
BANCA MARCH SA,549
Masterpeace,550
Harmonic Drive Systems Inc.,551
Eshvi Kids,552
ARTISTIC MILLINERS,553
"Chegg, Inc.",554
Alpkit,555
LookFantastic,556
Ocado Group plc,557
ADEC INNOVATIONS,558
Petrofac,559
959,560
Budweiser Brewing Company APAC Limited,561
4Kinship,562
hudi,563
Chamical Compactación S.A.,564
Toast Ale,565
Pip & Nut,566
Champion,567
3vectores,568
Brave Soul,569
GerminalBio,570
Triple P International Pty Ltd,571
D'orica Srl Società Benefit,572
BRIGHTNESS SAS,573
FibraHotel,574
Eosis,575
Asics Corporation,576
Dante6,577
WALD Berlin,578
Hood To Coast Relay,579
Camaïeu,580
Blurred,581
Firelands Scientific,582
arch 4,583
Morgan,584
Archos,585
Vert Asset Management,586
Echeverría Izquierdo S.A.,587
"Tierra Farm, Inc.",588
Vivienne Westwood,589
Entrust Financial,590
"Bridgewater Bancshares, Inc.",591
REI,592
Fry's,593
Living Room Realty,594
Sunski,595
OBEY,596
Sustainable Growth Associates GmbH,597
Promosumma,598
ScienceMagic.Inc,599
Wonderbra,600
Philips,601
Jiangxi Zhengbang Technology Co.Ltd.,602
Sandwich,603
Raf Simons,604
PHUDA TEA COMPANY,605
Monkee Genes,606
Jagger and Stone,607
NIK&NIK,608
SJF Ventures,609
AuTerra,610
RIANNA + NINA,611
DANO,612
"Shanghai Lujiazui Finance & Trade Zone Development Co., Ltd.",613
Ad Victoriam Solutions,614
Cage Free Productions,615
"iRhythm Technologies, Inc.",616
Nabtesco Corporation,617
IBA Group (Ion Beam Applications Group),618
For Days,619
SICLO RURAL,620
Saye,621
Bestseller AS,622
PVH Corp.,623
"Beijing Oriental Yuhong Waterproof Technology Co., Ltd.",624
Dr Reddy's Laboratories,625
Re-Vive,626
Cyborg Mobile,627
Pets at Home Group Plc,628
Nube,629
"Becle, S.A.B. de C.V.",630
Good Stuff Partners,631
Clearly PR,632
Franc,633
Enda Athletic Inc.,634
Alfani,635
PT. Agri Wangi Sentosa,636
Persil,637
THEA WITH LOVE,638
"MOR Wealth Management, LLC.",639
KeyCorp,640
"TengChong ShanShuiGaGa Tea Co., Ltd",641
Coyuchi,642
HTC,643
PSP Swiss Property AG,644
"Anhui Honglu Steel Construction(Group) CO., LTD",645
AMALGAMATED PLANTATIONS PRIVATE LIMITED - NOWERA NUDDY TEA ESTATE,646
HSBC Holdings plc,647
FREY,648
Mulanje Tea Imports,649
Sandro,650
Advanced Metrics,651
Victoria plc,652
ichcha,653
Sustainable Pacific,654
Karen by Simonsen,655
Vulcan Materials Company,656
Tree-Mendous Aerial Adventures,657
ARTICLE22,658
PT Perkebunan Nusantara VI Unit Usaha Kayu Aro,659
Sentido Verde,660
Faculty of Skills,661
Aqua Clara Kenya,662
AUBADE,663
ID.EIGHT,664
"Arena Pharmaceuticals, Inc.",665
"FuelCell Energy, Inc.",666
BR-ND People,667
Go Cat,668
ISEM Group,669
Aestethic London,670
KidGlov,671
Thalía Sodi,672
Jonathan Crisp,673
Halma plc,674
Allied Properties Real Estate Investment Trust,675
AVI Limited,676
Qatar Electricity & Water Company Q.P.S.C.,677
Investir&+,678
Goodwings,679
Accor,680
THE M|N|ML,681
Merino Kids,682
MICROWD,683
Tuckerman & Co,684
Booksamillion,685
FedEx,686
CHEPKUMIA TEA FACTORY COMPANY LIMITED.,687
12 Tides,688
LIM Cosmetics GmbH,689
Kampos,690
Horizon Athletic,691
CONNEXING,692
Ponds,693
PENEDO BORGES BODEGA BOUTIQUE,694
"Zhangzhou Guangzhaoren Tea Co., Ltd",695
Impact Investment Group,696
Soma,697
Aspiration,698
Caslon,699
Marine Serre,700
Parker Clay,701
Simply Straws,702
Figue,703
MAZE - decoding impact,704
Vera Bradley Inc.,705
Khirma,706
Ageas,707
Vetements,708
Nili Lotan,709
Soft Rebels,710
Kin and Carta Europe,711
The Collective,712
EcoLeaf (Suma),713
"Rule29 Creative, Inc",714
Sophie Rieu,715
Thumaita Tea Factory Company Limited,716
Rebecca Vallance,717
Mayfly Outdoors,718
Paloma Wool,719
Grupa UNIBEP,720
Azimut Holding S.p.A.,721
Yorkshire Tea,722
thinkPARALLAX,723
Ultrasun,724
Miranda Bennett Studio,725
Catchafire,726
Hemant and Nandita,727
Tivall,728
PIE Strategy Limited,729
Encore,730
MediaResponsable S.L.,731
"MERGE4 Mfg, Inc.",732
Wilmar International,733
Deckers Outdoor Corporation,734
Fetzer Vineyards,735
BURKELY,736
GreenSpark Energy,737
Border Biscuits,738
INTER CARS S.A.,739
MiHaven,740
Sydney Hale Co.,741
Editora MOL,742
PostNL,743
3.1 Phillip Lim,744
NOW,745
"Intex Solutions, Inc.",746
Rpm,747
DÔEN,748
Equilibrium,749
Bank OZK,750
Martina Spetlova,751
Baby Organix,752
"Diamondback Energy, Inc.",753
Amadeus,754
BioBalance Ltd,755
Wolf and Zephyr,756
Karvol,757
Warrior,758
Brecon Carreg,759
Laura Strambi,760
Neverbland,761
Kate Sylvester,762
The Teloijan Tea Co. Ltd.,763
Kibena Tea Limited,764
WeTransfer.com,765
SIDIESE,766
David Hill Vineyards and Winery,767
Botanics,768
Marlow and Mae,769
LM & Associates Consulting Inc.,770
Leanne Marshall,771
Minga London,772
AU Optronics Corp.,773
"Civilian, Inc.",774
Amorepacific Corporation,775
Bianca Spender,776
Useful Simple Trust,777
Emprediem,778
Luiza Barcelos,779
Another Tomorrow Inc.,780
MIM Tea Estate,781
Nassf Travel,782
Latrobe Valley Bus Lines P/L,783
BASF SE,784
Fitzgerald Frisby Landscape Architecture,785
Watts Battery Ltd,786
Armanino LLP,787
Never Fully Dressed,788
"East Money Information Co.,Ltd.",789
Deckiajuli Tea Estate-Parry Agro Industries Limited,790
The Fable,791
Subdued,792
Chalayan,793
Danone Dairy Belgium,794
Zippy,795
Room Shop Vintage,796
"Grand Canyon Education, Inc.",797
BRONX,798
Longvie S.A.,799
Be Inspired Films,800
Regatta Australia,801
S.W. Basics,802
The Tweed Project,803
Sir Woofchester's,804
Exelon Corporation,805
"Kazi and Kazi Organic Tea, Teatulia Organic Tea",806
Halara,807
"Fossil Group, Inc.",808
The Farm,809
Rescue Chocolate,810
"ABASIC, S.A.",811
Kapchebet Tea Factory Limited,812
"Team Tipton (R S Tipton, PBC)",813
"Local Venture Legal, PLLC",814
Elkline,815
Liz Earle,816
DANIELI & C. OFFICINE MECCANICHE SPA,817
"DB Insurance Co., Ltd.",818
Gramicci,819
Brace's,820
AltaGas Ltd.,821
SKINJAY,822
iflorist,823
La Doria S.p.A.,824
Relish New Brand Experience Inc.,825
Makia,826
PT Charoen Pokphand Indonesia Tbk,827
Rocket Dog,828
On,829
"Mango Excellent Media Co., Ltd.",830
Berrett-Koehler Publishers,831
Souldaze,832
Falke,833
BASE Associates Inc.,834
Celio International,835
"Hankyu Hanshin Holdings, Inc.",836
RIVIERAS,837
Heller Consulting,838
Legend World Wide,839
FINLAYS TEA ESTATES LANKA (PVT) LTD,840
Anita Ko,841
"Effective Assets, Inc.",842
Rude Health,843
Right Lane Consulting Pty Ltd,844
Monnalisa,845
Metis Consulting Group,846
Sista Glam,847
Andrew Martin,848
PeptiDream Inc.,849
StartSomeGood,850
SPYGEN,851
Pukka,852
EQT AB (publ),853
Oxford Vitality,854
caur,855
OAMC,856
Welly Health PBC,857
Coop Home Goods,858
SACO The Serviced Apartment Company Limited,859
Naturgy Energy Group (formerly Gas Natural Fenosa),860
Arnhem,861
Pares |  Estratégia & Desenvolvimento,862
NAF NAF,863
TCHO Chocolate,864
"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",865
Zen Business Consulting,866
Neil Barrett,867
Longwell Company,868
KCC Corporation,869
Studio 189,870
Colfax Corporation,871
Good & Well,872
GATX Corporation,873
RALLY,874
Hush,875
Leo Pizzo,876
Macquarie Group,877
Felidarity,878
Mejores Prácticas,879
"Public Joint-Stock Company ""Second Generating Company of the Electric Power Whol",880
The Animal Observatory,881
KHRISJOY,882
Iliad S.A. d/b/a Free,883
"E-180, Inc",884
Reima,885
"Wolfspeed, Inc.",886
San Pellegrino,887
UCB SA,888
Grupo GAIA,889
Aster & Oak,890
Eden Ministry,891
Midas,892
Quest,893
Project Gen Z,894
Liatin SA (Impulso Creativo),895
Chickapea,896
Fazenda Da Toca Orgânicos,897
"Frogsong Farm, LLC",898
Oy,899
Creative Energies,900
CTRS Solutions Limited,901
Bank Leumi le- Israel B.M.,902
Beijing Enterprises Water Group Limited,903
SnappCar,904
Plenish Drinks,905
FINAE SAPI DE CV SOFOM ENR,906
Mufindi Tea Company Ltd,907
IPG Photonics Corporation,908
"Asia Vital Components Co., Ltd.",909
Awave Awake,910
Castañer,911
Leyland,912
Armadillo & Co Pty Ltd,913
"U.S. Xpress Enterprises, Inc.",914
Rwenzori Commodities Limited,915
Chloé,916
Biotherm,917
Velveteen,918
Just Cavalli,919
HAATCH,920
TietoEVRY Oyj,921
Faith in Nature,922
G2 Insurance Services,923
Imfusio,924
Oneplanetcrowd,925
Edie Parker,926
Koninklijke Philips N.V,927
PYUA,928
Hannun,929
Planet+Purpose Solutions,930
Form,931
Alexis Advisors,932
Sterling King,933
Bodyform,934
IndiVillage Tech Solutions LLP,935
"Sany Heavy Industry Co., Ltd",936
Hamilton Shirts,937
SABA,938
Coalatree,939
One Step,940
Derwent London,941
Schlumberger,942
Grupa Kapitałowa ZUE,943
Powszechna Kasa Oszczednosci Bank Polski Spólka Akcyjna,944
Franco Sarto,945
Scale Up SCRL,946
Silver Spoon,947
COLORICHIARI,948
Wires,949
LAGARDE S.A.,950
Palsgaard,951
The Phoenix Holdings Ltd.,952
Lilian von Trapp,953
Atlantica Sustainable Infrastructure plc,954
Aniyami,955
"SK Discovery Co., Ltd.",956
Banca Monte dei Paschi di Siena,957
SVT Group,958
Alkhemist,959
Gachege Tea Factory,960
UMUNTU,961
Grupa Kapitałowa Getin Noble Bank S.A.,962
Clare Vivier,963
Zola Amour,964
PGE Polska Grupa Energetyczna,965
Money Positive,966
CRH,967
"AlgaEnergy, S.A.",968
One Roof Women Pty Ltd,969
BAKARI,970
NOVO Painting & Property Services LLC,971
Liquid Blue,972
Investec,973
Hemper Handmade,974
PGNiG,975
BioMerieux,976
Kalubowitiyana Tea Factories Ltd,977
DFS,978
Sanlam,979
Louis Vuitton Malletier SA (LVMH),980
PHENIX,981
Merritt & Merritt,982
Clarins,983
BottleDream,984
ZENGGI,985
Taiyo,986
LAS,987
Eat Your Water,988
Eco Panplas,989
"Yuqing County Guizhou Province Fengxiangyuan Tea Industry Co., Ltd",990
John Frieda,991
Timetastic,992
Gallery Department,993
Cenovus Energy Inc.,994
China Tourism Group Duty Free Corporation Limited,995
Olive,996
TRVL DRSS,997
"Suizhou Shennong Tea Co., Ltd",998
Tabitha Simmons,999
American College of Education,1000
"AVIC Industry-Finance Holdings Co., Ltd.",1001
Vosene,1002
Kirrin Finch,1003
Mills Office Productivity,1004
Junk Studios,1005
Ekomenu,1006
Albemarle Corporation,1007
Consciam Limited,1008
Broadreach Nature +,1009
Shionogi & Co.,1010
"China Pacific Insurance (Group) Co., Ltd.",1011
Kajima Corporation,1012
Club Knit,1013
Incyte Corporation,1014
Sonen Capital LLC,1015
Express Inc,1016
OxfordSM,1017
Smac Co. Ltd.,1018
Iron Mountain Incorporated,1019
Pure Magnolia,1020
Framework Training Limited,1021
BIG MAMMA S.A.S,1022
Urban Pipeline,1023
Asus,1024
Fig Loans,1025
CeraVe,1026
Berlei,1027
Kwiat,1028
PIECES,1029
Gina Tricot,1030
obon sai cosmetics ltd,1031
Native,1032
"SEMILLERO DE EMPRESAS RURALES, S.A DE C.V",1033
Semtech Corporation,1034
"G-III Apparel Group, LTD.",1035
"NASCEND, LLC",1036
Oceana Group Limited,1037
Leather Heart,1038
Alter Eco,1039
Momul Tea Factory Company Ltd,1040
Shihara,1041
Agnona,1042
"Apollo Global Management, Inc.",1043
Iriaini Tea Factory Company Ltd,1044
"Argo Group International Holdings, Ltd.",1045
"Shoei Co., Ltd.",1046
Ready Brek,1047
Lost Property Of London,1048
IRCE Group,1049
Ginger Salon Inc,1050
"ROSAPARKS, Purpose Branding & Social Impact",1051
Fifth Wall,1052
Indosole,1053
Storm Consultancy,1054
F&F at Tesco,1055
Li-Ning,1056
HERA SpA,1057
Jumbo S.A.,1058
Atelier Swarovski,1059
"WuXi AppTec Co., Ltd.",1060
Dojo4,1061
Adyen N.V.,1062
Isla In Bloom,1063
Loeffler Randall,1064
Les Petits Joueurs,1065
ECOS,1066
"Wicked Joe, Wicked Leaf & Benbows Coffee",1067
Vaillant,1068
Baisikeli ApS,1069
SSOE Phu Tho Tea Company Limited,1070
Crazy 8,1071
Ulvang,1072
Mac Douglas,1073
ARU,1074
Katies,1075
Fisher & Paykel Healthcare Corporation Limited,1076
Come Back As A Flower,1077
Moltex,1078
Jumping Beans,1079
Craig Green,1080
J.S. Sociedad Anonima - JS Tea,1081
"Tiok Tea Estate, West Bengal Manufacturing Company (P) Ltd",1082
Signal Works,1083
Climate Positive Consulting,1084
"Skelly Lives, Inc. dba Kozm",1085
kencko,1086
Henley Raw Dog Food,1087
Woolworths Holdings Limited,1088
Hong Kong Exchanges and Clearing Limited,1089
Rockridge Venture Law,1090
Sienna Byron Bay Pty Ltd,1091
Red Gum BBQ,1092
Function of Beauty,1093
Welcome to the Jungle,1094
Chinasoft International Limited,1095
Burnham Benefits Insurance Services,1096
ConocoPhillips,1097
Creature Comforts Brewing Company,1098
GFG Jewellery by Nilufer,1099
Fubon Financial,1100
"Daycos, Inc",1101
LifeStride,1102
Luke's Lobster,1103
Beyond Bank Australia,1104
Ecotalk,1105
Callaway,1106
Mariah Rovery,1107
MiaDonna & Company,1108
Admie (IPTO) Holding SA,1109
Tomboyx,1110
Agile Group Holdings Limited,1111
Entelékia / Integrow,1112
Metso Outotec,1113
Il Gufo,1114
Grameen Danone Foods Ltd,1115
The Giving Keys,1116
MagicLinks,1117
"JG Summit Holdings, Inc.",1118
I.G. Advisors,1119
Global Leadership Foundation,1120
Dechra Pharmaceuticals plc,1121
Business West,1122
"Hoteles City Express, S.A.B. de C.V.",1123
MIGHTY ALLY,1124
s.Oliver BLACK LABEL,1125
NINA YUUN,1126
"Autoliv, Inc.",1127
Catimini,1128
I.M.A. INDUSTRIA MACCHINE AUTOMATICHE S.P.A.,1129
Giorgio Brato,1130
Siola,1131
Grupa Kapitałowa Bank Pekao S.A.,1132
Simply Supplements,1133
Le Slip Français,1134
Kinross Gold Corporation,1135
Les Affûtés,1136
Dunkiel Saunders Elliott Raubvogel & Hand,1137
